meal_names,meal_ingredients,meal_tags,meal_urls,meal_cousine_names,meal_images
Бездрожжевой масала-хлеб,"{'Пшеничная цельномолотая мука': '2 стакана', 'Ржаная цельномолотая мука': '1 стакан', 'Ячменная мука': '½ стакана', 'Льняная мука': '½ стакана', 'Крупная морская соль': '1 чайная ложка', 'Сода': '1 чайная ложка', 'Семечки подсолнуха': '½ стакана', 'Очищенные семена тыквы': '½ стакана', 'Кунжутные семечки': '¼ стакана', 'Молотый кориандр': '½ чайной ложки', 'Мускатный орех': '¼ чайной ложки', 'Гвоздика': '3 штуки', 'Молотая корица': '¼ чайной ложки', 'Зеленые коробочки кардамона': '3 штуки', 'Черный перец горошком': '3 штуки', 'Кефир': '2 стакана'}","['Выпечка и десерты', 'Бразильская кухня']",https://eda.ru/recepty/vypechka-deserty/bezdrozhzhevoj-masala-hleb-37920,Бразильская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/161211222131/161224195426/p_O.jpg
Мохито по‑бразильски,"{'Свежая мята': '6 стеблей', 'Сахар': '2 столовые ложки', 'Лайм': '1 штука', 'Ром «Бакарди лимон»': '30 мл', 'Белый ром': '30 мл', 'Спрайт': 'по вкусу', 'Сухое шампанское': 'по вкусу'}","['Напитки', 'Бразильская кухня']",https://eda.ru/recepty/napitki/mohito-po-brazilski-26687,Бразильская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120214134655/120214135325/p_O.jpg
Бразильский куиндим (Quindim Brasiliani),"{'Пшеничная мука': '150 г', 'Сгущенное молоко': '350 г', 'Сливочное масло': '30 г', 'Яичный желток': '6 штук', 'Сахар': '100 г', 'Сок лайма': '1 столовая ложка'}","['Выпечка и десерты', 'Бразильская кухня']",https://eda.ru/recepty/vypechka-deserty/brazilskij-kuindim-quindim-brasiliani-25944,Бразильская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/120214133254/120214133702/p_O.jpg
Курица с гречкой и овощами по‑деревенски,"{'Баклажаны': '2 штуки', 'Курица': '1,5 кг', 'Гречневая крупа': '1 стакан', 'Чеснок': '4 зубчика', 'Соль': 'по вкусу', 'Помидоры': '4 штуки', 'Молотый черный перец': 'по вкусу', 'Специи': 'по вкусу'}","['Основные блюда', 'Бразильская кухня']",https://eda.ru/recepty/osnovnye-blyuda/kurica-s-grechkoj-i-ovoshhami-po-derevenski-37684,Бразильская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/160312155529/160318091947/p_O.jpg
Початки кукурузы в лимонно-чесночной глазури,"{'Сливочное масло': '1 столовая ложка', 'Оливковое масло extra virgin': '1 столовая ложка', 'Чеснок': '2 зубчика', 'Початки кукурузы': '4 штуки', 'Вода': '0,3 стакана', 'Лимонный сок': '2 столовые ложки', 'Соль': 'по вкусу', 'Свежемолотый черный перец': 'по вкусу'}","['Закуски', 'Бразильская кухня', 'Низкокалорийная еда']",https://eda.ru/recepty/zakuski/pochatki-kukuruzi-v-limonno-chesnochnoj-glazuri-28518,Бразильская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/120214141717/120214142404/p_O.jpg
Бразильский банановый пирог,"{'Куриное яйцо': '4 штуки', 'Растительное масло': '150 мл', 'Пшеничная мука': '650 г', 'Кефир': '200 мл', 'Разрыхлитель': '1 столовая ложка', 'Ванильный экстракт': '1 столовая ложка', 'Бананы': '5 штук', 'Сахар': '100 г', 'Сливочное масло': '90 г', 'Корица': '1 чайная ложка', 'Соль': '½ чайной ложки'}","['Выпечка и десерты', 'Бразильская кухня']",https://eda.ru/recepty/vypechka-deserty/brazilskij-bananovij-pirog-42287,Бразильская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/120131084144/140211000734/p_O.jpg
Куриные грудки фаршированные с розмарином,"{'Куриная грудка': '4 штуки', 'Сушеные белые грибы': '20 г', 'Соленые огурцы': '1 штука', 'Морковь': '1 штука', 'Петрушка': 'по вкусу', 'Укроп': 'по вкусу', 'Пшеничная мука': '1 столовая ложка', 'Розмарин': '5 штук', 'Ягоды можжевельника': '10 штук', 'Соль': 'по вкусу', 'Растительное масло': 'по вкусу', 'Молотый черный перец': 'по вкусу', 'Сливочное масло': '1 столовая ложка', 'Чеснок': '1 зубчик', 'Зеленый лук с луковицей': '1 штука'}","['Основные блюда', 'Бразильская кухня']",https://eda.ru/recepty/osnovnye-blyuda/kurinie-grudki-farshirovannie-s-rozmarinom-24146,Бразильская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120131082911/120214130624/p_O.jpg
Бананово-карамельный пирог,"{'Сливочное масло': '250 г', 'Бананы': '5 штук', 'Сахар': '200 г', 'Куриное яйцо': '1 штука', 'Сметана': '250 г', 'Пшеничная мука': '450 г'}","['Выпечка и десерты', 'Бразильская кухня']",https://eda.ru/recepty/vypechka-deserty/bananovo-karamelnij-pirog-35706,Бразильская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/120131083619/130129190834/p_O.jpg
Творожный крем с зеленью и грецкими орехами,"{'Творог': '200 г', 'Укроп': '3 стебля', 'Петрушка': '3 стебля', 'Чеснок': '3 зубчика', 'Грецкие орехи': '4 штуки', 'Соль': 'по вкусу'}","['Закуски', 'Бразильская кухня']",https://eda.ru/recepty/zakuski/tvorozhnij-krem-s-zelenju-greckimi-orehami-24142,Бразильская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/120131082748/120214130623/p_O.jpg
Кукуруза на гриле с острым лаймовым маслом,"{'Початки кукурузы': '4 штуки', 'Сливочное масло': '2 столовые ложки', 'Молотый перец чипотле': '¼ чайной ложки', 'Тертая цедра лайма': '¼ чайной ложки', 'Сок лайма': '1 чайная ложка', 'Крупная соль': '½ чайной ложки'}","['Закуски', 'Бразильская кухня']",https://eda.ru/recepty/zakuski/kukuruza-na-grile-s-ostrim-lajmovim-maslom-28520,Бразильская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120214141717/120214142407/p_O.jpg
Рулет с начинкой за 5 минут,"{'Сахар': '5 столовых ложек', 'Пшеничная мука': '5 столовых ложек', 'Сухое молоко': '5 столовых ложек', 'Куриное яйцо': '3 штуки', 'Гашеная сода': '⅓ чайной ложки', 'Соль': 'щепотка'}","['Выпечка и десерты', 'Бразильская кухня']",https://eda.ru/recepty/vypechka-deserty/rulet-s-nachinkoj-za-5-minut-36150,Бразильская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/130212102403/130309170431/p_O.jpg
Паста гороховая для бутербродов,"{'Желтый горох': '400 г', 'Морковь': '2 штуки', 'Чеснок': '5 зубчиков', 'Оливковое масло': '3 столовые ложки', 'Соль': 'по вкусу', 'Молотый черный перец': 'по вкусу', 'Укроп': '½ пучка', 'Сушеная кинза (кориандр)': '1,5 чайные ложки'}","['Закуски', 'Бразильская кухня']",https://eda.ru/recepty/zakuski/pasta-gorohovaja-dlja-buterbrodov-51405,Бразильская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/130629211231/150710121200/p_O.jpg
Грушевый десерт с мороженым и свежими ягодами,"{'Ванильное мороженое': '1 кг', 'Черника': '300 г', 'Груши': '500 г', 'Лимон': '1 штука', 'Сахар': '80 г', 'Ликер': '40 мл', 'Сливочное печенье': '200 г', 'Сливки': '250 мл', 'Зеленые фисташки': '2 г'}","['Выпечка и десерты', 'Бразильская кухня']",https://eda.ru/recepty/vypechka-deserty/grushevij-desert-s-morozhenim-svezhimi-jagodami-24093,Бразильская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/110812141030/120214130617/p_O.jpg
Рождественская кайпиринья,"{'Лайм': '4 штуки', 'Сок лайма': '240 мл', 'Сахар': '120 г', 'Имбирь': '1 штука', 'Свежая мята': '30 г', 'Кашаса': '240 мл', 'Лед': 'по вкусу', 'Имбирный эль': '1,2 л'}","['Напитки', 'Бразильская кухня']",https://eda.ru/recepty/napitki/rozhdestvenskaja-kajpirinja-17745,Бразильская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120213180046/120213180328/p_O.jpg
Бразильский безглютеновый сырный хлеб Пао ди…,"{'Молоко': '1 стакан', 'Молотая тапиока': '2 стакана', 'Растительное масло': '½ стакана', 'Куриное яйцо': '2 штуки', 'Соль': '1 чайная ложка', 'Сыр моцарелла': '250 г', 'Тертый сыр пармезан': '60 г'}","['Выпечка и десерты', 'Бразильская кухня']",https://eda.ru/recepty/vypechka-deserty/brazilskij-bezgljutenovij-sirnij-hleb-pao-di-kejzhu-51835,Бразильская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/120213184037/150801223651/p_O.jpg
Закусочная запеканка с зеленью и чесноком,"{'Творог': '800 г', 'Куриное яйцо': '2 штуки', 'Сахар': '1 чайная ложка', 'Соль': '1,5 чайные ложки', 'Молотый черный перец': '½ чайной ложки', 'Петрушка': '1 пучок', 'Укроп': '1 пучок', 'Зеленый лук': '1 пучок', 'Сметана 20%-ная': '500 г', 'Чеснок': '6 зубчиков', 'Пшеничная мука': '5 столовых ложек', 'Простокваша': '150 мл'}","['Закуски', 'Бразильская кухня']",https://eda.ru/recepty/zakuski/zakusochnaja-zapekanka-s-zelenju-i-chesnokom-35224,Бразильская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120214123706/121224215709/p_O.jpg
Зеленая фасоль под тыквенным соусом,"{'Тыква': '200 г', 'Картофель': '2 штуки', 'Петрушка': 'по вкусу', 'Орегано': 'по вкусу', 'Маргарин': '1 столовая ложка', 'Шампиньоны': '200 г', 'Зеленая стручковая фасоль': '400 г', 'Морковь': '1 штука', 'Чеснок': '2 зубчика', 'Растительное масло': '3 столовые ложки', 'Соль': 'по вкусу'}","['Основные блюда', 'Бразильская кухня', 'Веганская еда']",https://eda.ru/recepty/osnovnye-blyuda/zelenaja-fasol-pod-tikvennim-sousom-51246,Бразильская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120131082709/150626220155/p_O.jpg
"Зеленый салат с фасолью, грушей и бразильскими…","{'Зеленая стручковая фасоль': '400 г', 'Салат айсберг': '200 г', 'Груши': '2 штуки', 'Бразильские орехи': '50 г', 'Лимон': '½ штуки', 'Оливковое масло': '2 столовые ложки', 'Ореховое масло': '2 столовые ложки', 'Кунжутные семечки': '2 чайные ложки', 'Молотый черный перец': 'щепотка', 'Морская соль': '½ чайной ложки', 'Крупная соль': 'щепотка'}","['Салаты', 'Бразильская кухня', 'Веганская еда']",https://eda.ru/recepty/salaty/zelenyy-salat-s-fasolyu-grushey-i-brazilskimi-orehami-80576,Бразильская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/160904132102/160912154811/p_O.jpg
Тыквенная манная каша с кули из брусники и…,"{'Манная крупа': '80 г', 'Молоко': '280 мл', 'Сахар': '1 столовая ложка', 'Тертый имбирь': '¼ чайной ложки', 'Тыквенное пюре': '110 г', 'Обезжиренный сыр филадельфия': '15 г', 'Соленые крекеры': 'по вкусу', 'Сахарная пудра': '½ чайной ложки', 'Брусничное варенье': 'по вкусу'}","['Завтраки', 'Бразильская кухня']",https://eda.ru/recepty/zavtraki/tikvennaja-mannaja-kasha-s-kuli-iz-brusniki-i-soljonim-pretcelem-36008,Бразильская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/121003171635/130224130333/p_O.jpg
Белый соус барбекю с креольской горчицей и…,"{'Вода': '¼ стакана', 'Майонез': '240 г', 'Белый винный уксус': '¼ стакана', 'Свежемолотый черный перец': '1 столовая ложка', 'Креольская горчица': '1 столовая ложка', 'Соль': '1 чайная ложка', 'Сахар': '1 чайная ложка', 'Чеснок': '2 зубчика', 'Хрен': '12 г'}","['Соусы и маринады', 'Бразильская кухня']",https://eda.ru/recepty/sousy-marinady/belij-sous-barbekju-s-kreolskoj-gorchicej-hrenom-22407,Бразильская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120213175022/120213190536/p_O.jpg
Лосось с пюре из фенхеля,"{'Филе лосося': '200 г', 'Сливочное масло': '35 г', 'Лимон': '15 г', 'Тимьян': '4 стебля', 'Фенхель': '1,5 штуки', 'Лук': '½ штуки', 'Сливки 33%-ные': '200 мл', 'Белый вермут': '3 столовые ложки', 'Рыбный бульон': '50 мл', 'Шнитт-лук': '10 г', 'Оливковое масло': '½ чайной ложки'}","['Закуски', 'Норвежская кухня']",https://eda.ru/recepty/zakuski/losos-s-pjure-iz-fenhelja-26332,Норвежская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120815023247/131219130737/p_O.jpg
Гравлакс из утки,"{'Коньяк': '100 мл', 'Утиная грудка': '1 кг', 'Крупная соль': '100 г', 'Сахар': '50 г', 'Свежий тимьян': '20 г', 'Ягоды можжевельника': '5 г', 'Клубника': '400 г', 'Свекольная ботва': '1 кг', 'Красное сухое вино': '500 мл', 'Молотый черный перец': 'по вкусу'}","['Закуски', 'Норвежская кухня']",https://eda.ru/recepty/zakuski/gravlaks-iz-utki-44216,Норвежская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/140524182915/140529122135/p_O.jpg
Лосось в медово-лимонной глазури с розмарином,"{'Мед': '400 г', 'Свежие листья розмарина': '10 г', 'Лимон': '2 штуки', 'Филе лосося': '1,2 кг', 'Оливковое масло': '50 мл', 'Соль': 'по вкусу', 'Молотый черный перец': 'по вкусу'}","['Основные блюда', 'Норвежская кухня']",https://eda.ru/recepty/osnovnye-blyuda/losos-v-medovo-limonnoj-glazuri-s-rozmarinom-44217,Норвежская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/DefaultRecipePhoto/no-photo.png
Сливочный суп с семгой,"{'Семга': '300 г', 'Картофель': '500 г', 'Помидоры': '300 г', 'Лук-порей': '200 г', 'Сливки 10%-ные': '500 мл', 'Морковь': '150 г', 'Соль': 'по вкусу', 'Растительное масло': '2 столовые ложки', 'Зелень': '1 пучок', 'Молотый черный перец': 'по вкусу'}","['Супы', 'Норвежская кухня']",https://eda.ru/recepty/supy/slivochnij-sup-s-semgoj-18912,Норвежская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/120214155832/151005131434/p_O.jpg
Норвежский сливочный суп с семгой,"{'Вода': '500 мл', 'Филе семги': '370 г', 'Картофель': '500 г', 'Помидоры': '300 г', 'Морковь': '150 г', 'Зелень': 'по вкусу', 'Лук-порей': '100 г', 'Сливки 20%-ные': '500 мл', 'Растительное масло': '3 столовые ложки'}","['Супы', 'Норвежская кухня']",https://eda.ru/recepty/supy/norvezhskij-slivochnij-sup-s-semgoj-40145,Норвежская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/110805134417/131015012300/p_O.jpg
Суп из трески с овощами по‑норвежски,"{'Репчатый лук': '2 головки', 'Морковь': '3 штуки', 'Зелень': '1 пучок', 'Чеснок': '3 зубчика', 'Пшеничная мука': '1 столовая ложка', 'Сливочное масло': '30 г', 'Помидоры': '200 г', 'Белое сухое вино': '3 столовые ложки', 'Треска': '1 кг', 'Соль': 'по вкусу', 'Сливки': '2 столовые ложки', 'Молотый белый перец': 'по вкусу'}","['Супы', 'Норвежская кухня']",https://eda.ru/recepty/supy/sup-iz-treski-s-ovoschami-po-norvezhski-22527,Норвежская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/121018180012/161016152909/p_O.jpg
Пирог с семгой и брынзой,"{'Пшеничная мука': '250 г', 'Сливочное масло': '125 г', 'Куриное яйцо': '2 штуки', 'Соль': 'по вкусу', 'Семга': '500 г', 'Шпинат': '350 г', 'Сыр брынза': '250 г', 'Сметана': '4 столовые ложки'}","['Выпечка и десерты', 'Норвежская кухня']",https://eda.ru/recepty/vypechka-deserty/pirog-s-semgoj-i-brinzoj-37902,Норвежская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/140518204129/140727153401/p_O.jpg
Суп из норвежской семги,"{'Норвежская семга': '400 г', 'Лук-порей': '100 г', 'Морковь': '100 г', 'Картофель': '100 г', 'Помидоры': '50 г', 'Лимон': '1 штука', 'Укроп': '1 пучок'}","['Супы', 'Норвежская кухня', 'Низкокалорийная еда']",https://eda.ru/recepty/supy/sup-iz-norvezhskoj-semgi-18605,Норвежская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/120213181135/120213181210/p_O.jpg
Бергенский рыбный крем-суп,"{'Филе семги': '200 г', 'Филе трески': '200 г', 'Мидии': '100 г', 'Очищенные креветки': '100 г', 'Белое сухое вино': '250 мл', 'Сливочное масло': '3 столовые ложки', 'Пшеничная мука': '3 столовые ложки', 'Сливки': '150 мл', 'Соль': 'по вкусу', 'Шафран': 'по вкусу', 'Лавровый лист': 'по вкусу', 'Молотый белый перец': 'по вкусу', 'Лук-порей': '1 штука', 'Морковь': '1 штука'}","['Супы', 'Норвежская кухня']",https://eda.ru/recepty/supy/bergenskij-ribnij-krem-sup-31171,Норвежская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120131084308/120424122811/p_O.jpg
Уха из трески по‑норвежски,"{'Репчатый лук': '2 штуки', 'Треска': '1 кг', 'Морковь': '3 штуки', 'Чеснок': '3 зубчика', 'Пшеничная мука': '2 столовые ложки', 'Сливочное масло': '40 г', 'Помидоры': '1 штука', 'Белое сухое вино': '100 мл', 'Сливки 35%-ные': '50 мл', 'Рубленая петрушка': '25 г', 'Соль': 'по вкусу', 'Молотый черный перец': 'по вкусу'}","['Супы', 'Норвежская кухня']",https://eda.ru/recepty/supy/uha-iz-treski-po-norvezhski-45461,Норвежская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/140524182915/140717160428/p_O.jpg
"Свиная корейка с черносливом, яблоками и…","{'Свиная корейка': '1,799 кг', 'Соль': '2 чайные ложки', 'Молотый черный перец': '1,5 чайные ложки', 'Оливковое масло': '1 столовая ложка', 'Зеленые яблоки': '2 штуки', 'Репчатый лук': '1 головка', 'Чернослив без косточек': '½ стакана', 'Вода': '¾ стакана', 'Куриный бульон': '1,5 стакана', 'Зернистая горчица': '2 столовые ложки', 'Сливки 30%-ные': '½ стакана', 'Белое сухое вино': '½ стакана'}","['Основные блюда', 'Норвежская кухня']",https://eda.ru/recepty/osnovnye-blyuda/svinaja-korejka-s-chernoslivom-jablokami-slivkami-19539,Норвежская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120213182322/120213182442/p_O.jpg
Суп-пюре из шпината с норвежской семгой,"{'Филе норвежской семги': '300 г', 'Сахар': '2 столовые ложки', 'Морская соль': '1 столовая ложка', 'Замороженный шпинат': '400 г', 'Сливочное масло': '60 г', 'Лук-порей': '120 г', 'Куриный бульон': '800 мл', 'Картофель': '100 г', 'Лимон': '1 штука', 'Куриное яйцо': '2 штуки'}","['Супы', 'Норвежская кухня']",https://eda.ru/recepty/supy/sup-pjure-iz-shpinata-s-norvezhskoj-semgoj-18648,Норвежская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120213181135/120213181257/p_O.jpg
Картофельные роллы с сельдью,"{'Картофель': '1 кг', 'Норвежская слабосоленая сельдь': '1 штука', 'Морковь по-корейски': '100 г', 'Свекла по-корейски': '100 г', 'Сливочное масло': '100 г', 'Майонез': '100 г', 'Сухие водоросли нори': '2 штуки'}","['Закуски', 'Норвежская кухня']",https://eda.ru/recepty/zakuski/kartofelnie-rolli-s-seldju-19399,Норвежская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/120131082254/120213182326/p_O.jpg
Стейк семги с лаймом и травами,"{'Стейк из семги': '2 штуки', 'Лайм': '1 штука', 'Свежий розмарин': '2 стебля', 'Свежий тимьян': '4 стебля', 'Легкий соевый соус': '3 столовые ложки', 'Свежая мята': '1 стебель', 'Оливковое масло': '2 столовые ложки', 'Зернистая горчица': '2 столовые ложки'}","['Основные блюда', 'Норвежская кухня']",https://eda.ru/recepty/osnovnye-blyuda/stejk-semgi-s-lajmom-i-travami-43589,Норвежская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/140416134740/140422184501/p_O.jpg
Норвежские бутерброды с селедкой,"{'Сельдь': '200 г', 'Французский багет': '1 штука', 'Зеленый салат': '1 пучок', 'Сливочное масло': 'по вкусу', 'Лимон': '1 штука', 'Огурцы': '1 штука'}","['Закуски', 'Норвежская кухня']",https://eda.ru/recepty/zakuski/norvezhskie-buterbrodi-s-seledkoj-44632,Норвежская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/121004175948/150208221827/p_O.jpg
Скандинавские бублики с кардамоном,"{'Пшеничная мука': '3 стакана', 'Сливки 20%-ные': '200 мл', 'Коричневый сахар': '⅔ стакана', 'Куриное яйцо': '2 штуки', 'Сливочное масло': '50 г', 'Коробочки кардамона': '12 штук', 'Отруби': 'по вкусу', 'Сухие дрожжи': '2 столовые ложки', 'Морская соль': '1 чайная ложка'}","['Выпечка и десерты', 'Норвежская кухня']",https://eda.ru/recepty/vypechka-deserty/skandinavskie-bubliki-s-kardamonom-18536,Норвежская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120131083953/120213181147/p_O.jpg
Норвежские бутерброды с рыбой смёрребрёд,"{'Ржаной хлеб': '4 куска', 'Шпроты': '8 штук', 'Плавленый сырок': '3 штуки', 'Маринованные огурцы': '200 г', 'Сладкий красный лук': '1 головка', 'Шнитт-лук': '1 пучок', 'Перепелиный желток': '4 штуки', 'Редис': '4 штуки'}","['Закуски', 'Норвежская кухня']",https://eda.ru/recepty/zakuski/norvezhskie-buterbrodi-s-riboj-smjorrebrjod-55610,Норвежская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/120213174921/151214183951/p_O.jpg
"Стейк из голубой акулы, запеченный в фольге","{'Лимон': '1 штука', 'Приправа для рыбы': 'по вкусу', 'Соевый соус': '2 чайные ложки', 'Соль': 'щепотка', 'Стейк из акулы': '900 г'}","['Основные блюда', 'Норвежская кухня']",https://eda.ru/recepty/osnovnye-blyuda/stejk-iz-goluboj-akuli-zapechennij-v-folge-51881,Норвежская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/150215152606/150804195743/p_O.jpg
Норвежский миндальный тарт с кардамоном,"{'Пшеничная мука': '1,5 стакана', 'Разрыхлитель': '1 чайная ложка', 'Соль': '¼ чайной ложки', 'Сливочное масло': '125 г', 'Молотый кардамон': '1,5 чайные ложки', 'Сахар': '½ стакана', 'Яичный желток': '2 штуки', 'Сливки': '2 столовые ложки', 'Миндаль': '260 г', 'Молотый мускатный орех': '¼ чайной ложки', 'Сахарная пудра': '1 стакан', 'Яичный белок': '3 штуки', 'Ванильный экстракт': '½ чайной ложки'}","['Выпечка и десерты', 'Норвежская кухня']",https://eda.ru/recepty/vypechka-deserty/norvezhskij-mindalnij-tart-s-kardamonom-35173,Норвежская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/120131085240/121221123804/p_O.jpg
"Семга на шпажках, запеченная в духовке","{'Семга': '500 г', 'Маринованные каперсы': '2 чайные ложки', 'Соль': 'по вкусу', 'Молотый черный перец': 'по вкусу', 'Белое сухое вино': '50 мл', 'Лимон': '1 штука', 'Сливки 20%-ные': '100 мл'}","['Основные блюда', 'Норвежская кухня']",https://eda.ru/recepty/osnovnye-blyuda/semga-na-shpazhkah-zapechennaja-v-duhovke-38050,Норвежская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/120214125404/130614233441/p_O.jpg
Пурсалада — традиционный баскский суп,"{'Филе трески': '250 г', 'Оливковое масло': '4 столовые ложки', 'Лук-порей': '6 штук', 'Картофель': '750 г', 'Соль': 'по вкусу'}","['Супы', 'Норвежская кухня']",https://eda.ru/recepty/supy/pursalada-tradicionnij-baskskij-sup-14385,Норвежская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/120131112336/1202131749132/p_O.jpg
Пряный морковный пирог,"{'Куриное яйцо': '3 штуки', 'Сахар': '150 г', 'Подсолнечное масло': '½ стакана', 'Пшеничная мука': '200 г', 'Курага': '160 г', 'Чернослив': '160 г', 'Светлый изюм': '190 г', 'Тертый имбирь': '½ чайной ложки', 'Молотая корица': '1 чайная ложка', 'Сода': '1 чайная ложка', 'Свежевыжатый грейпфрутовый сок': '20 мл', 'Сахарная пудра': '100 г', 'Грейпфруты': '1 штука', 'Морковь': '3 штуки'}","['Выпечка и десерты', 'Норвежская кухня']",https://eda.ru/recepty/vypechka-deserty/prjanij-morkovnij-pirog-35253,Норвежская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/121010154332/121227142742/p_O.jpg
Лефсе (Норвежские картофельные лепешки),"{'Картофельное пюре': '600 г', 'Сливочное масло': '3 столовые ложки', 'Жирные сливки': '2 столовые ложки', 'Сахар': '1 столовая ложка', 'Соль': '1 чайная ложка', 'Пшеничная мука': '1,5 стакана'}","['Выпечка и десерты', 'Норвежская кухня']",https://eda.ru/recepty/vypechka-deserty/lefse-norvezhskie-kartofelnie-lepeshki-47082,Норвежская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120131090615/141103185655/p_O.jpg
Слабосоленая атлантическая сельдь под шубой из…,"{'Филе сельди': '140 г', 'Картофель': '100 г', 'Куриное яйцо': '4 штуки', 'Свекла': '210 г', 'Морковь': '210 г', 'Майонез': '110 г', 'Укроп': '4 г', 'Зеленый лук': '4 г', 'Кервель': 'по вкусу', 'Смесь салатных листьев': '4 г'}","['Закуски', 'Норвежская кухня']",https://eda.ru/recepty/zakuski/slabosolenaja-atlanticheskaja-seld-pod-shuboj-iz-molodih-ovoschej-23942,Норвежская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/120214125956/120214130158/p_O.jpg
Суп из салаки с картофелем и зеленью,"{'Рыба': '500 г', 'Картофель': '3 штуки', 'Лавровый лист': '1 штука', 'Морковь': '1 штука', 'Репчатый лук': '1 головка', 'Сливочное масло': '20 г', 'Сметана': '4 столовые ложки', 'Зелень': '30 г'}","['Супы', 'Норвежская кухня']",https://eda.ru/recepty/supy/sup-iz-salaki-s-kartofelem-zelenju-22619,Норвежская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120130134334/120214123710/p_O.jpg
Суфле из семги,"{'Филе семги': '500 г', 'Сливки 34%-ные': '300 мл', 'Яичный белок': '2 штуки', 'Соль': 'по вкусу', 'Сливочный сыр': 'по вкусу', 'Красная икра': 'по вкусу'}","['Закуски', 'Норвежская кухня']",https://eda.ru/recepty/zakuski/sufle-iz-semgi-30940,Норвежская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/120131082601/170101173921/p_O.jpg
Тефтели из сельди «Птичьи гнезда»,"{'Каперсы': '80 г', 'Сельдь': '400 г', 'Куриное яйцо': '8 штук', 'Анчоусы': '130 г', 'Репчатый лук': '100 г', 'Зеленый салат': '120 г'}","['Основные блюда', 'Норвежская кухня']",https://eda.ru/recepty/osnovnye-blyuda/tefteli-iz-seldi-ptichi-gnezda-16721,Норвежская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120213175531/120213175604/p_O.jpg
